shipment_id,crop_type,storage_days,temperature,humidity,distance_km,transport_mode,delay_hours,region,loss_percent
52,Potato,1,30.1,52.1,384,Refrigerated Truck,5.1,East,0.37
53,Rice,3,34.9,62.9,876,Truck,3.1,North,18.28
54,Mango,1,36.4,40.5,839,Truck,0.7,South,15.4
55,Tomato,13,27.2,72.8,1499,Refrigerated Truck,11.6,Central,27.98
56,Rice,12,25.5,94.9,779,Truck,9.0,South,39.12
57,Banana,12,22.9,59.4,923,Truck,19.6,South,35.8
58,Onion,11,19.5,53.1,459,Rail,10.0,South,21.2
59,Tomato,6,23.0,56.0,370,Truck,1.1,North,13.28
60,Onion,1,33.2,37.5,1318,Truck,0.4,North,10.27
61,Wheat,12,28.1,87.4,407,Truck,2.0,North,31.34
62,Banana,13,36.8,57.0,62,Truck,1.0,South,28.38
63,Banana,10,23.3,55.2,525,Refrigerated Truck,5.7,North,23.25
64,Tomato,0,28.2,,1332,Rail,4.2,East,15.19
65,Banana,8,28.9,58.7,1143,Truck,8.9,North,26.95
66,Mango,0,27.8,72.1,214,Truck,5.5,West,7.75
67,Banana,7,31.1,34.0,1069,Rail,8.2,North,20.85
68,Onion,14,17.1,82.9,820,Truck,1.9,North,26.76
69,Onion,1,25.4,91.1,177,Truck,6.5,North,21.26
70,Rice,11,13.1,72.2,238,Truck,12.8,North,26.47
71,Onion,7,21.5,92.0,797,Refrigerated Truck,0.2,West,22.35
72,Rice,12,24.6,39.8,797,Refrigerated Truck,0.3,Central,17.14
73,Onion,2,29.6,61.0,1431,Refrigerated Truck,9.3,North,12.06
74,Mango,5,38.5,69.1,1067,Refrigerated Truck,0.8,East,16.79
75,Rice,2,28.0,67.8,123,Refrigerated Truck,3.6,West,0.61
76,Potato,13,32.3,56.1,339,Rail,13.9,Central,26.07
77,Wheat,6,25.2,52.0,1364,Refrigerated Truck,0.2,North,14.87
78,Tomato,9,29.0,38.2,1102,Truck,14.3,Central,31.12
79,Onion,8,12.1,55.5,1219,Refrigerated Truck,3.0,East,14.47
80,Banana,1,17.6,40.6,328,Refrigerated Truck,1.7,West,11.18
81,Onion,14,20.9,77.7,1015,Rail,8.6,West,33.95
82,Banana,11,24.2,43.6,1175,Truck,5.6,Central,36.22
83,Wheat,11,11.4,33.8,288,Truck,5.1,North,18.89
84,Wheat,14,14.2,65.9,217,Refrigerated Truck,0.4,South,16.57
85,Wheat,13,18.3,68.7,933,Refrigerated Truck,5.6,West,22.62
86,Banana,4,39.1,86.7,756,Open Cart,7.4,South,39.4
87,Onion,12,19.9,67.5,1422,Truck,6.3,West,27.72
88,Wheat,5,24.5,52.5,343,Refrigerated Truck,12.8,North,10.09
89,Mango,3,15.9,82.2,1050,Rail,5.6,North,17.06
90,Rice,3,28.3,65.1,109,Open Cart,2.6,West,15.04
91,Banana,3,18.4,35.2,1494,Rail,0.2,Central,17.55
92,Banana,1,16.2,66.8,1487,Rail,4.1,North,15.28
93,Onion,3,25.5,89.0,1460,Rail,7.3,North,23.12
94,Banana,10,10.2,55.8,774,Refrigerated Truck,2.1,East,19.92
95,Banana,0,10.2,49.3,720,Open Cart,3.5,North,20.08
96,Wheat,11,16.6,39.3,767,Truck,11.9,East,23.54
97,Onion,5,11.1,39.8,1249,Truck,4.1,North,13.42
98,Wheat,0,13.2,58.1,383,Open Cart,6.8,North,16.15
99,Rice,9,20.2,68.7,1250,Rail,6.3,Central,20.74
100,Rice,5,34.1,35.2,1286,Refrigerated Truck,15.0,Central,19.7
101,Wheat,0,27.2,91.1,717,Rail,8.4,North,19.58
102,Rice,5,25.4,79.1,1395,Truck,8.8,West,16.09
103,Onion,9,18.8,68.1,1377,Refrigerated Truck,9.2,West,23.1
104,Tomato,7,38.0,83.8,229,Refrigerated Truck,0.5,North,18.78
105,Wheat,10,21.9,,742,Truck,1.6,West,20.74
106,Mango,1,12.6,61.0,240,Truck,11.7,North,11.95
107,Mango,1,28.5,71.0,187,Refrigerated Truck,7.3,Central,10.05
108,Banana,13,13.4,83.9,716,Truck,0.9,South,30.24
109,Rice,14,20.4,80.9,448,Open Cart,3.0,East,27.04
110,Mango,12,25.2,48.0,627,Truck,6.4,West,30.38
111,Banana,11,36.2,91.2,1034,Rail,2.5,West,38.75
112,Tomato,3,24.8,38.1,1264,Open Cart,8.8,Central,26.4
113,Onion,10,31.1,86.9,1155,Refrigerated Truck,4.3,West,28.62
114,Onion,2,39.8,93.1,1132,Truck,4.3,North,30.88
115,Onion,3,13.9,41.5,753,Refrigerated Truck,4.0,North,5.11
116,Mango,12,18.2,76.9,159,Truck,5.0,South,24.38
117,Tomato,11,21.8,32.6,261,Truck,0.4,South,22.73
118,Mango,6,22.7,56.4,239,Open Cart,1.8,South,23.32
119,Rice,12,22.3,63.6,504,Refrigerated Truck,10.6,North,20.2
120,Mango,10,37.2,67.7,293,Refrigerated Truck,9.6,South,26.53
121,Tomato,0,31.4,90.8,514,Truck,15.8,South,28.43
122,Tomato,5,28.2,73.7,713,Truck,3.1,North,18.04
123,Rice,14,19.3,61.3,789,Truck,1.2,Central,20.33
124,Tomato,14,34.7,,898,Rail,7.5,West,32.44
125,Tomato,2,38.7,91.8,780,Refrigerated Truck,1.6,East,18.0
126,Onion,10,34.6,31.4,302,Rail,1.8,North,19.35
127,Rice,9,10.0,93.9,141,Refrigerated Truck,3.8,North,20.84
128,Potato,6,29.1,35.6,380,Truck,14.9,East,26.6
129,Potato,9,11.5,82.9,91,Truck,9.2,East,24.83
130,Tomato,1,17.7,48.2,1447,Truck,9.9,South,16.07
131,Potato,13,11.8,38.6,1227,Truck,14.6,East,36.41
132,Potato,1,28.1,58.6,1491,Truck,10.4,West,19.35
133,Tomato,12,30.6,71.9,441,Open Cart,1.8,West,32.79
134,Potato,3,13.4,54.8,1338,Truck,10.3,West,16.41
135,Mango,0,21.5,33.5,1309,Open Cart,11.1,West,25.19
136,Banana,2,23.7,69.0,1351,Truck,8.9,West,23.43
137,Rice,12,21.1,88.7,768,Open Cart,3.8,South,38.91
138,Banana,8,13.6,54.9,706,Rail,8.3,North,20.39
139,Tomato,6,22.6,44.1,946,Open Cart,4.9,East,24.98
140,Onion,14,32.5,58.8,156,Truck,0.9,North,21.0
141,Rice,6,12.1,33.1,1330,Refrigerated Truck,0.6,East,15.34
142,Tomato,12,12.4,,1306,Open Cart,9.2,South,41.54
143,Onion,12,20.6,83.7,1036,Truck,0.4,South,28.04
144,Banana,10,38.3,68.2,811,Truck,0.1,Central,28.64
145,Tomato,3,30.1,53.0,239,Truck,9.5,Central,17.54
146,Rice,1,30.4,82.0,679,Open Cart,5.8,South,13.54
147,Rice,14,20.9,66.1,565,Rail,8.5,South,24.64
148,Wheat,13,27.8,83.7,1330,Rail,2.4,East,27.17
149,Mango,3,10.3,71.0,42,Truck,8.3,South,13.93
150,Potato,5,29.1,81.0,1164,Truck,1.0,North,13.57
151,Onion,10,37.4,68.9,826,Refrigerated Truck,1.1,East,18.65
152,Wheat,10,28.4,56.9,425,Truck,2.0,South,15.39
153,Potato,2,36.2,92.3,1247,Refrigerated Truck,13.2,East,28.8
154,Potato,0,31.7,65.2,352,Open Cart,2.8,East,10.83
155,Tomato,13,13.6,69.3,1107,Truck,18.2,West,36.54
156,Potato,11,37.1,44.3,752,Refrigerated Truck,7.4,Central,21.98
157,Mango,7,12.0,70.7,277,Truck,4.3,East,19.3
158,Rice,11,26.0,67.2,1189,Refrigerated Truck,12.9,East,26.22
159,Wheat,12,14.3,42.0,312,Truck,14.5,West,28.18
160,Potato,4,10.4,33.9,1402,Refrigerated Truck,0.2,South,6.11
161,Tomato,14,22.7,69.3,980,Truck,5.4,East,33.51
162,Mango,4,18.9,79.6,737,Rail,9.3,West,20.84
163,Banana,10,24.6,64.0,1037,Rail,3.6,North,27.53
164,Rice,3,27.3,44.7,448,Truck,5.9,West,13.14
165,Rice,5,11.3,73.3,1141,Refrigerated Truck,5.1,Central,9.5
166,Wheat,2,13.7,35.2,1233,Truck,3.9,Central,10.12
167,Rice,8,26.8,58.7,409,Refrigerated Truck,2.9,South,15.45
168,Potato,4,20.3,40.6,857,Truck,5.1,South,19.02
169,Tomato,2,31.9,42.0,1225,Refrigerated Truck,5.6,Central,13.62
170,Rice,10,29.6,43.1,782,Truck,5.4,Central,22.08
171,Rice,0,35.4,55.1,119,Truck,9.5,East,11.8
172,Banana,9,30.8,33.3,1149,Truck,5.8,Central,31.57
173,Banana,11,22.9,55.9,69,Refrigerated Truck,1.3,South,19.22
174,Onion,5,30.2,63.3,1304,Truck,15.8,Central,20.77
175,Mango,14,18.3,61.4,829,Open Cart,2.9,South,33.57
176,Potato,1,19.2,54.9,243,Open Cart,3.3,North,20.09
177,Rice,12,33.7,84.5,306,Truck,8.9,Central,26.12
178,Rice,2,23.4,39.4,1420,Refrigerated Truck,16.3,South,15.39
179,Tomato,0,34.0,62.9,973,Truck,9.1,West,23.14
180,Onion,8,34.7,34.0,373,Truck,10.0,East,20.74
181,Mango,7,35.7,34.6,237,Refrigerated Truck,1.0,South,9.18
182,Onion,11,37.5,67.3,199,Refrigerated Truck,5.5,Central,14.29
183,Wheat,1,22.9,66.8,911,Refrigerated Truck,1.8,Central,1.04
184,Mango,14,19.6,87.1,1040,Truck,9.2,North,36.36
185,Rice,11,27.5,66.3,925,Truck,9.8,West,27.67
186,Rice,10,21.1,92.4,693,Truck,14.8,South,37.68
187,Mango,7,28.0,,181,Refrigerated Truck,8.0,West,11.79
188,Rice,11,31.2,36.4,221,Rail,1.2,North,12.72
189,Potato,13,30.7,32.9,1039,Refrigerated Truck,12.8,East,31.19
190,Mango,8,21.2,42.0,1474,Truck,3.4,West,25.32
191,Onion,0,15.0,65.2,634,Truck,9.8,North,14.5
192,Mango,12,22.9,72.0,168,Truck,11.8,South,32.65
193,Rice,4,14.3,33.0,57,Truck,4.8,East,6.63
194,Potato,7,36.7,91.5,222,Truck,3.5,Central,30.99
195,Potato,14,20.4,84.7,1003,Refrigerated Truck,4.3,North,29.43
196,Wheat,10,14.6,49.3,828,Open Cart,13.8,Central,25.69
197,Onion,13,10.8,35.0,1388,Rail,14.2,East,29.07
198,Banana,1,29.4,41.0,389,Rail,6.2,North,18.67
199,Banana,3,29.1,38.3,60,Truck,0.9,North,9.36
200,Mango,6,20.2,38.0,122,Open Cart,15.4,East,30.06
201,Wheat,2,12.2,63.7,904,Truck,9.9,South,12.68
202,Tomato,12,22.3,46.0,1281,Open Cart,0.5,North,32.48
203,Mango,11,19.3,53.3,802,Rail,7.1,East,26.96
204,Wheat,4,30.3,94.3,784,Truck,6.8,West,28.85
205,Onion,7,28.2,74.5,1020,Open Cart,1.2,Central,23.75
206,Onion,11,20.9,91.7,807,Truck,7.1,North,35.11
207,Onion,9,16.5,39.3,849,Rail,11.6,West,21.29
208,Onion,2,39.6,54.8,1208,Rail,3.2,North,14.23
209,Onion,3,23.6,66.1,1443,Truck,12.2,South,15.55
210,Wheat,13,30.6,35.0,1263,Truck,5.5,East,25.72
211,Wheat,14,14.2,30.3,859,Refrigerated Truck,18.3,North,25.2
212,Potato,8,24.6,73.6,712,Refrigerated Truck,5.3,East,15.98
213,Banana,13,10.8,71.7,1108,Truck,11.4,North,35.91
214,Rice,13,25.2,56.7,26,Open Cart,6.3,South,29.5
215,Onion,6,38.9,61.8,847,Truck,0.1,South,15.15
216,Tomato,0,21.5,57.0,1468,Truck,4.8,West,11.87
217,Rice,13,11.2,31.6,1121,Truck,6.5,South,30.3
218,Wheat,11,10.9,51.8,196,Truck,9.1,East,18.12
219,Tomato,3,21.6,41.5,1023,Truck,6.2,South,22.84
220,Tomato,3,14.8,36.4,1131,Open Cart,3.9,North,19.45
221,Tomato,8,10.7,92.2,400,Truck,9.5,South,32.39
222,Potato,5,32.7,69.0,1035,Truck,5.2,East,20.22
223,Wheat,8,23.8,77.4,644,Truck,8.6,North,20.51
224,Tomato,11,18.7,50.5,1023,Refrigerated Truck,10.8,West,30.98
225,Onion,14,37.0,55.6,571,Open Cart,1.7,West,27.78
226,Mango,5,13.5,45.4,235,Truck,0.0,West,15.27
227,Tomato,5,38.7,36.3,878,Truck,5.3,North,23.43
228,Potato,4,19.4,41.6,578,Truck,5.7,West,11.24
229,Rice,4,36.7,81.8,244,Truck,7.7,South,21.67
230,Wheat,1,28.1,74.0,94,Truck,2.9,North,5.0
231,Potato,7,34.8,65.6,236,Truck,13.5,North,23.39
232,Tomato,7,39.5,60.9,461,Truck,0.1,North,22.89
233,Wheat,10,18.7,90.0,237,Rail,7.6,Central,23.19
234,Mango,12,38.8,34.7,358,Truck,14.0,East,33.21
235,Tomato,0,21.7,48.2,1009,Open Cart,6.8,Central,18.28
236,Potato,7,21.6,52.7,1361,Open Cart,10.8,Central,29.82
237,Banana,4,20.2,80.9,443,Rail,9.3,Central,22.55
238,Onion,1,26.2,94.5,1403,Truck,6.9,East,24.39
239,Rice,13,14.6,45.6,1320,Truck,1.9,Central,21.74
240,Potato,1,26.6,86.8,349,Truck,8.0,West,17.87
241,Wheat,13,26.3,84.0,668,Refrigerated Truck,11.3,North,26.61
242,Tomato,14,32.9,44.6,1456,Rail,0.9,North,26.21
243,Onion,14,35.0,56.0,661,Open Cart,10.9,South,35.09
244,Tomato,5,23.2,56.6,134,Open Cart,10.6,West,23.94
245,Wheat,10,19.1,93.6,145,Truck,6.8,East,30.51
246,Tomato,12,17.8,41.8,419,Rail,1.8,North,23.58
247,Banana,8,15.8,81.9,1121,Truck,10.6,Central,26.7
248,Onion,0,11.7,51.7,630,Truck,8.0,South,9.49
249,Onion,11,20.3,77.5,288,Truck,1.1,South,20.98
250,Wheat,5,18.1,57.3,227,Truck,2.8,North,2.87
251,Rice,8,39.0,67.6,748,Open Cart,9.9,West,29.33
252,Banana,7,26.7,84.1,467,Truck,5.7,South,20.92
253,Potato,10,20.4,82.3,1304,Rail,11.5,North,29.11
254,Tomato,5,27.4,86.3,1168,Refrigerated Truck,3.0,West,16.88
255,Mango,2,14.2,33.9,361,Refrigerated Truck,1.0,North,7.48
256,Tomato,7,23.3,75.0,1051,Truck,18.2,North,34.29
257,Tomato,8,28.8,39.1,1298,Open Cart,5.1,West,27.2
258,Potato,0,24.7,57.0,863,Rail,2.0,West,4.57
259,Tomato,11,22.1,65.7,669,Truck,6.7,West,25.82
260,Banana,8,39.8,56.2,1361,Truck,10.9,North,35.08
261,Banana,13,36.4,63.8,1019,Rail,8.9,South,32.97
262,Onion,14,28.7,94.8,89,Refrigerated Truck,18.9,East,40.77
263,Wheat,5,27.1,38.8,625,Refrigerated Truck,4.3,East,6.91
264,Rice,5,28.6,73.9,1059,Refrigerated Truck,0.2,North,6.89
265,Mango,11,16.0,55.7,244,Rail,3.7,North,23.82
266,Tomato,3,21.9,38.6,367,Truck,3.1,South,14.61
267,Tomato,0,11.2,40.3,826,Truck,4.6,West,8.37
268,Potato,9,24.3,91.7,1417,Truck,0.9,North,32.25
269,Wheat,7,26.3,87.2,672,Refrigerated Truck,9.7,Central,28.95
270,Banana,1,16.8,89.0,1327,Refrigerated Truck,7.2,West,25.89
271,Mango,11,38.9,94.4,1399,Truck,2.6,North,43.76
272,Onion,0,37.3,43.5,103,Rail,10.8,Central,12.37
273,Banana,1,31.7,53.1,51,Truck,0.1,South,9.33
274,Wheat,0,26.0,73.5,843,Truck,2.1,Central,6.78
275,Rice,0,36.1,61.4,426,Truck,5.5,North,8.2
276,Onion,8,13.9,57.2,66,Truck,5.5,East,15.79
277,Rice,12,33.7,53.3,1137,Truck,8.5,North,26.47
278,Potato,13,13.7,68.6,1147,Truck,12.0,East,34.43
279,Potato,0,33.8,67.4,1014,Truck,1.2,South,10.45
280,Tomato,12,18.3,40.5,602,Truck,14.5,South,33.5
281,Rice,3,36.3,,1410,Refrigerated Truck,0.9,West,13.48
282,Wheat,9,38.3,66.0,396,Truck,1.9,West,22.66
283,Mango,5,14.5,67.1,981,Open Cart,12.6,East,32.1
284,Onion,6,23.9,43.7,1080,Truck,0.2,East,17.75
285,Banana,1,39.4,78.2,607,Truck,9.6,South,25.09
286,Wheat,5,24.5,31.6,1317,Truck,12.0,Central,17.55
287,Wheat,6,35.9,53.1,341,Truck,7.9,East,17.11
288,Potato,9,27.7,80.7,814,Refrigerated Truck,3.7,East,18.58
289,Rice,13,21.3,66.7,1232,Truck,1.4,Central,21.65
290,Tomato,9,18.6,47.0,1266,Open Cart,21.3,West,39.64
291,Tomato,1,16.1,75.2,1410,Open Cart,2.1,West,19.69
292,Onion,14,32.9,66.9,756,Rail,22.9,East,37.34
293,Potato,1,21.6,81.8,1164,Rail,15.3,West,18.92
294,Wheat,9,25.3,77.8,1435,Refrigerated Truck,8.1,West,16.44
295,Mango,6,24.8,69.7,1390,Truck,6.8,West,23.85
296,Potato,11,27.3,61.7,1409,Refrigerated Truck,2.2,South,20.59
297,Onion,0,36.0,38.7,885,Truck,4.5,North,15.78
298,Onion,7,39.4,47.0,639,Truck,0.9,East,18.72
299,Potato,10,22.2,,258,Rail,4.6,East,17.17
300,Onion,12,34.8,69.0,1142,Rail,3.2,South,27.77
301,Potato,2,32.9,63.4,24,Open Cart,3.5,North,6.31
302,Banana,10,27.2,48.7,532,Truck,12.8,North,29.01
303,Potato,5,38.7,30.4,1173,Refrigerated Truck,4.7,South,16.08
304,Rice,8,16.0,62.3,1236,Truck,10.3,Central,23.38
305,Potato,5,13.3,48.6,380,Truck,6.4,Central,17.98
306,Onion,8,35.6,77.7,170,Truck,8.8,North,25.54
307,Rice,6,23.2,31.6,1209,Truck,3.8,Central,16.73
308,Onion,14,35.4,68.0,865,Truck,12.9,Central,30.72
309,Tomato,8,36.8,91.2,621,Rail,3.0,Central,31.88
310,Tomato,1,11.9,41.3,616,Refrigerated Truck,7.1,North,9.01
311,Rice,11,36.5,60.7,1472,Truck,3.9,Central,27.9
312,Banana,7,23.4,35.9,1360,Rail,6.0,East,24.28
313,Tomato,7,25.3,70.7,507,Refrigerated Truck,4.2,North,13.93
314,Potato,1,28.8,65.8,917,Refrigerated Truck,8.5,South,5.94
315,Onion,11,37.8,56.5,83,Rail,1.6,Central,18.82
316,Tomato,13,10.6,63.9,589,Truck,2.6,West,24.55
317,Tomato,3,24.3,88.3,692,Open Cart,1.0,North,29.79
318,Banana,13,30.6,42.8,400,Rail,1.9,South,24.02
319,Rice,14,31.7,31.5,1131,Truck,1.9,East,26.06
320,Rice,10,30.8,86.0,406,Truck,19.4,South,35.69
321,Wheat,14,14.0,67.5,979,Refrigerated Truck,12.5,Central,27.1
322,Banana,6,19.0,87.9,228,Truck,9.1,West,25.57
323,Potato,10,20.8,68.8,522,Open Cart,7.7,Central,30.17
324,Rice,3,34.1,82.7,638,Truck,6.8,South,17.1
325,Onion,3,18.4,57.9,240,Refrigerated Truck,6.8,North,1.98
326,Banana,5,16.3,,1455,Truck,6.0,West,26.03
327,Tomato,9,38.7,89.3,120,Rail,5.2,West,35.2
328,Onion,5,10.3,67.2,1191,Open Cart,7.6,South,24.17
329,Onion,9,39.9,41.8,230,Truck,2.8,Central,25.84
330,Tomato,14,30.3,47.5,234,Rail,3.6,South,28.57
331,Banana,2,34.9,42.9,186,Truck,0.5,West,15.91
332,Tomato,14,18.8,46.0,1277,Truck,1.7,South,32.92
333,Wheat,8,10.4,49.9,1346,Truck,6.8,West,22.76
334,Onion,11,32.1,66.1,214,Refrigerated Truck,9.6,Central,15.99
335,Mango,9,35.0,68.2,1420,Truck,6.8,North,26.28
336,Mango,13,32.2,57.7,100,Truck,9.5,North,32.73
337,Potato,10,14.3,70.0,898,Truck,9.6,South,28.43
338,Rice,1,32.6,35.3,760,Refrigerated Truck,3.2,West,3.0
339,Tomato,5,33.1,35.7,1114,Refrigerated Truck,8.2,North,16.64
340,Tomato,11,29.8,41.2,419,Truck,5.5,West,25.93
341,Potato,6,33.0,63.7,398,Truck,2.7,Central,11.88
342,Potato,11,35.4,43.9,700,Open Cart,2.0,South,28.58
343,Potato,12,28.4,48.4,848,Truck,14.2,West,29.62
344,Onion,8,12.7,56.0,608,Open Cart,7.0,South,23.97
345,Wheat,12,24.6,82.8,586,Open Cart,3.0,West,32.98
346,Tomato,2,12.3,30.9,137,Refrigerated Truck,8.6,West,8.72
347,Onion,9,22.2,72.2,795,Truck,10.5,Central,23.81
348,Potato,2,22.2,73.5,653,Refrigerated Truck,4.5,South,3.63
349,Tomato,6,12.0,81.9,1342,Refrigerated Truck,9.1,East,24.69
350,Onion,13,20.5,90.6,225,Rail,10.0,West,34.39
351,Wheat,3,13.3,31.3,980,Truck,11.2,West,18.49
352,Onion,12,34.2,40.0,1466,Truck,2.1,North,21.18
353,Wheat,7,38.4,87.6,1074,Truck,5.9,South,28.83
354,Potato,12,12.2,59.8,1220,Rail,14.2,East,31.33
355,Wheat,6,38.7,66.7,1407,Rail,1.8,Central,21.14
356,Tomato,4,25.7,73.1,792,Truck,0.1,East,12.82
357,Potato,6,19.0,74.1,695,Rail,5.5,Central,17.85
358,Tomato,2,12.3,90.6,1362,Truck,2.0,East,23.47
359,Mango,11,25.0,94.8,43,Refrigerated Truck,1.7,East,31.55
360,Banana,1,33.8,76.8,1321,Open Cart,2.5,South,24.29
361,Wheat,5,31.2,48.7,694,Truck,12.9,North,16.29
362,Banana,1,11.5,87.2,166,Truck,11.7,East,24.32
363,Banana,2,12.2,33.2,1359,Truck,5.1,West,18.93
364,Wheat,5,22.1,45.0,1132,Refrigerated Truck,14.9,West,16.13
365,Potato,4,18.9,88.3,165,Refrigerated Truck,8.1,West,15.52
366,Mango,7,17.0,46.7,1082,Open Cart,11.9,North,26.82
367,Tomato,8,18.4,44.3,1062,Truck,0.2,East,20.57
368,Onion,10,34.1,39.0,246,Open Cart,1.1,Central,23.36
369,Tomato,2,37.9,85.8,971,Truck,1.0,Central,23.85
370,Onion,11,22.2,62.5,894,Refrigerated Truck,4.5,South,20.42
371,Tomato,9,37.2,73.9,117,Truck,5.4,North,27.68
372,Wheat,2,19.6,45.5,1018,Open Cart,6.9,East,19.58
373,Mango,2,24.3,79.3,322,Rail,16.8,West,27.36
374,Onion,12,16.8,79.4,27,Refrigerated Truck,9.3,North,21.07
375,Rice,12,29.2,50.3,828,Refrigerated Truck,1.9,North,15.1
376,Potato,5,39.4,56.7,1146,Truck,5.0,East,23.85
377,Tomato,14,28.1,43.6,705,Truck,14.0,South,39.43
378,Tomato,14,20.7,93.5,1023,Open Cart,9.7,South,52.45
379,Onion,0,29.4,72.0,1240,Truck,14.0,South,10.55
380,Potato,6,13.7,90.7,1446,Truck,2.1,West,28.86
381,Potato,11,36.7,49.7,1141,Rail,0.7,West,23.06
382,Wheat,0,25.1,80.8,1072,Rail,0.8,East,2.18
383,Rice,13,23.5,79.8,132,Truck,2.6,South,20.65
384,Wheat,4,27.6,75.0,880,Truck,1.4,East,6.75
385,Wheat,14,28.7,92.8,162,Truck,6.8,South,38.01
386,Wheat,9,12.2,55.6,831,Truck,6.9,North,21.99
387,Wheat,12,30.5,38.5,1422,Open Cart,13.0,Central,35.12
388,Wheat,7,17.3,73.7,856,Open Cart,5.6,Central,20.51
389,Mango,3,31.4,77.4,516,Refrigerated Truck,0.7,South,9.12
390,Potato,4,34.7,67.4,49,Truck,9.8,East,14.1
391,Wheat,3,34.1,43.4,1136,Open Cart,6.1,West,19.96
392,Potato,11,26.6,62.8,223,Rail,5.3,South,13.26
393,Potato,11,25.6,50.3,447,Truck,12.6,South,26.87
394,Banana,13,14.3,57.8,319,Open Cart,1.1,West,31.12
395,Mango,3,33.3,71.9,181,Refrigerated Truck,0.6,South,11.25
396,Wheat,11,18.1,78.4,232,Refrigerated Truck,0.1,North,13.04
397,Tomato,7,24.9,45.1,271,Refrigerated Truck,7.1,West,18.89
398,Onion,1,18.5,56.3,874,Truck,5.8,North,12.14
399,Rice,0,14.0,47.5,842,Truck,1.9,Central,8.3
400,Tomato,2,28.9,42.9,1407,Refrigerated Truck,0.6,West,17.14
401,Mango,8,11.6,80.9,493,Truck,0.5,West,21.03
402,Onion,3,32.5,89.1,706,Truck,4.9,East,22.06
403,Mango,9,19.5,54.1,691,Refrigerated Truck,0.2,East,20.05
